novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
我是至尊, 风凌天下,http://www.x23us.com/book/68403, 连载中, 884064字,玄幻魔法,3,39
召唤天骄, 兴霸天,http://www.x23us.com/book/67606, 连载中, 742631字,玄幻魔法,126,12542
超级神武道, 会飞的是鱼,http://www.x23us.com/book/68177, 连载中, 683847字,玄幻魔法,40,397
混元剑帝, 乘风御剑,http://www.x23us.com/book/68079, 连载中, 1065298字,玄幻魔法,57,749
山海画妖师, 苍知,http://www.x23us.com/book/68370, 连载中, 535182字,玄幻魔法,23,416
莽穿新世界, 楚白,http://www.x23us.com/book/68314, 连载中, 583625字,玄幻魔法,11,338
劈天斩神, 江边一闲,http://www.x23us.com/book/59621, 连载中, 6702482字,玄幻魔法,399,53531
吞噬魂帝, 徐广大,http://www.x23us.com/book/65813, 连载中, 4819809字,玄幻魔法,1121,43115
武炼仙尊, 鴌鴌珠玑,http://www.x23us.com/book/65918, 连载中, 1236050字,玄幻魔法,126,7031
超级神基因, 十二翼黑暗炽天使,http://www.x23us.com/book/66957, 连载中, 3315673字,玄幻魔法,2908,1183254
战极通天, 悲伤月,http://www.x23us.com/book/59507, 连载中, 14639903字,玄幻魔法,1018,86177
绝世邪神, 风狂笑,http://www.x23us.com/book/54161, 已完成, 11678375字,玄幻魔法,3242,236842
万域之王, 逆苍天,http://www.x23us.com/book/64405, 连载中, 3324705字,玄幻魔法,3909,447676
重修上一世, 李唐王,http://www.x23us.com/book/67211, 连载中, 1698513字,玄幻魔法,156,5967
狂武战帝, 被罚站的豆豆,http://www.x23us.com/book/56224, 连载中, 9468756字,玄幻魔法,8910,167764
邪风道骨, 出云道人,http://www.x23us.com/book/68124, 连载中, 314976字,玄幻魔法,20,416
至高主宰, 犁天,http://www.x23us.com/book/64887, 连载中, 1997177字,玄幻魔法,604,47203
虐仙记, 逆苍生,http://www.x23us.com/book/50719, 连载中, 7682375字,玄幻魔法,727,127632
术士战纪, 啊啊融融,http://www.x23us.com/book/63197, 连载中, 2540097字,玄幻魔法,662,49975
耐瑟瑞尔的辉煌, 黎明C,http://www.x23us.com/book/68238, 连载中, 334069字,玄幻魔法,12,172
万兽战神, 铁血丹心,http://www.x23us.com/book/67117, 连载中, 3078883字,玄幻魔法,399,29210
弃僧, 胖子爱吃炖豆角,http://www.x23us.com/book/65874, 连载中, 5014968字,玄幻魔法,313,33666
玄界旅行社, 高森,http://www.x23us.com/book/68322, 连载中, 563574字,玄幻魔法,18,525
龙血武帝, 流水无痕,http://www.x23us.com/book/53495, 连载中, 11390780字,玄幻魔法,3293,436061
跑到异界开工厂, 大湿请留步,http://www.x23us.com/book/64333, 连载中, 2258923字,玄幻魔法,703,40247
巫界祖魔, 慕金田,http://www.x23us.com/book/68281, 连载中, 454828字,玄幻魔法,31,355
龙霸九霄天, 乐乐山人,http://www.x23us.com/book/66476, 连载中, 1207440字,玄幻魔法,120,10076
太古至尊, 两处闲愁,http://www.x23us.com/book/66899, 连载中, 5877902字,玄幻魔法,621,68379
永恒圣帝, 千寻月,http://www.x23us.com/book/67570, 连载中, 6270993字,玄幻魔法,640,114084
牧神记, 宅猪,http://www.x23us.com/book/68255, 连载中, 504420字,玄幻魔法,33,331
传奇族长, 山人有妙计,http://www.x23us.com/book/63419, 连载中, 5477402字,玄幻魔法,1769,377976
诸天仙武, 亘古孤寂2,http://www.x23us.com/book/68126, 连载中, 837741字,玄幻魔法,153,1099
旧日篇章, 虚鸣,http://www.x23us.com/book/68313, 连载中, 633365字,玄幻魔法,9,361
大逆之门, 知白,http://www.x23us.com/book/64404, 连载中, 4480059字,玄幻魔法,578,66896
十方神王, 贪睡的龙,http://www.x23us.com/book/57509, 连载中, 6360570字,玄幻魔法,2359,180198
绝代神主, 百里龙虾,http://www.x23us.com/book/66155, 连载中, 3826995字,玄幻魔法,827,188061
基因武道, 月中阴,http://www.x23us.com/book/68107, 连载中, 1027782字,玄幻魔法,155,1328
战气凌霄, 新闻工作者,http://www.x23us.com/book/52700, 连载中, 14584384字,玄幻魔法,543,99404
重生在神话世界, 纸生云烟,http://www.x23us.com/book/63179, 连载中, 3124559字,武侠修真,2017,284947
重生之西游冥圣, 楚三刀,http://www.x23us.com/book/68210, 连载中, 240146字,武侠修真,41,415
傲剑震江湖, 田博文,http://www.x23us.com/book/64349, 连载中, 2257925字,武侠修真,50,53096
九界仙尊, 神出古异,http://www.x23us.com/book/64464, 连载中, 4813813字,武侠修真,466,80365
制霸山海经, 挺大个脑袋,http://www.x23us.com/book/68335, 连载中, 430842字,武侠修真,13,236
武侠时代的皇帝修炼日记, 人瘦凋猪颜,http://www.x23us.com/book/68411, 连载中, 158326字,武侠修真,0,31
仙韵传, 沁园居士,http://www.x23us.com/book/64278, 连载中, 3947799字,武侠修真,278,38963
仙界赢家, 竹衣无尘,http://www.x23us.com/book/58641, 连载中, 3760229字,武侠修真,800,59519
无限修仙, 千头龙,http://www.x23us.com/book/1309, 连载中, 17387904字,武侠修真,2204,913443
问道仙葫, 清野山人,http://www.x23us.com/book/68428, 连载中, 9845字,武侠修真,0,0
天影, 萧鼎,http://www.x23us.com/book/65090, 连载中, 1549271字,武侠修真,1914,949010
穿越诸天万界, 天帝大人,http://www.x23us.com/book/67067, 连载中, 1433646字,武侠修真,868,303868
小夫小妻小仙人, 神龙吞恶虎,http://www.x23us.com/book/54705, 连载中, 6257722字,武侠修真,408,230940
地府大帝, 玉爪俊,http://www.x23us.com/book/65543, 连载中, 2439834字,武侠修真,655,45258
纣王驾到之叱咤封神, 了了而立,http://www.x23us.com/book/64859, 连载中, 2406429字,武侠修真,1354,82082
造化娲皇, 炎康,http://www.x23us.com/book/68438, 连载中, 1017580字,武侠修真,0,1
诸天求索, 谷岳,http://www.x23us.com/book/68439, 连载中, 391044字,武侠修真,0,0
清天之下, 白牧悠悠,http://www.x23us.com/book/68099, 连载中, 539836字,武侠修真,0,255
西游称雄, 一笑风,http://www.x23us.com/book/59180, 连载中, 2017453字,武侠修真,425,24227
奇侠系统, 萧胡,http://www.x23us.com/book/67494, 连载中, 1446666字,武侠修真,493,31853
九龙封魔传, 墨殊途,http://www.x23us.com/book/68070, 连载中, 736980字,武侠修真,7,542
重生之西游冥圣, 楚三刀,http://www.x23us.com/book/68210, 连载中, 240146字,武侠修真,41,415
傲剑震江湖, 田博文,http://www.x23us.com/book/64349, 连载中, 2257925字,武侠修真,50,53096
九界仙尊, 神出古异,http://www.x23us.com/book/64464, 连载中, 4813813字,武侠修真,466,80365
制霸山海经, 挺大个脑袋,http://www.x23us.com/book/68335, 连载中, 430842字,武侠修真,13,236
仙韵传, 沁园居士,http://www.x23us.com/book/64278, 连载中, 3947799字,武侠修真,278,38963
仙界赢家, 竹衣无尘,http://www.x23us.com/book/58641, 连载中, 3760229字,武侠修真,800,59519
无限修仙, 千头龙,http://www.x23us.com/book/1309, 连载中, 17387904字,武侠修真,2204,913443
问道仙葫, 清野山人,http://www.x23us.com/book/68428, 连载中, 9845字,武侠修真,0,0
天影, 萧鼎,http://www.x23us.com/book/65090, 连载中, 1549271字,武侠修真,1914,949010
穿越诸天万界, 天帝大人,http://www.x23us.com/book/67067, 连载中, 1433646字,武侠修真,868,303868
小夫小妻小仙人, 神龙吞恶虎,http://www.x23us.com/book/54705, 连载中, 6257722字,武侠修真,408,230940
地府大帝, 玉爪俊,http://www.x23us.com/book/65543, 连载中, 2439834字,武侠修真,655,45258
纣王驾到之叱咤封神, 了了而立,http://www.x23us.com/book/64859, 连载中, 2406429字,武侠修真,1354,82082
诸天求索, 谷岳,http://www.x23us.com/book/68439, 连载中, 391044字,武侠修真,0,0
清天之下, 白牧悠悠,http://www.x23us.com/book/68099, 连载中, 539836字,武侠修真,0,255
无悔九二, 墨老黑,http://www.x23us.com/book/68225, 连载中, 374518字,都市言情,19,274
重生之最强剑神, 天运老猫,http://www.x23us.com/book/55514, 连载中, 4756156字,都市言情,6542,947238
超级位面银行, 老告,http://www.x23us.com/book/68413, 连载中, 1363480字,都市言情,3,58
官涯无悔, 关越今朝,http://www.x23us.com/book/63366, 连载中, 4615465字,都市言情,725,55558
神级大镖客, 歪爽,http://www.x23us.com/book/60291, 连载中, 2593694字,都市言情,192,26534
超级巨兽分身, 独尚兰舟,http://www.x23us.com/book/68414, 连载中, 316084字,都市言情,8,41
大明才子风云录, 尚南山,http://www.x23us.com/book/61887, 连载中, 2573141字,都市言情,157,36008
捡宝生涯, 吃仙丹,http://www.x23us.com/book/58018, 连载中, 3623939字,都市言情,1517,97226
方大厨的黄金年代, 经纪老于,http://www.x23us.com/book/68415, 连载中, 564051字,都市言情,0,1
半岛岁月, 五月伤,http://www.x23us.com/book/59040, 连载中, 2322606字,都市言情,245,39016
全能战警, 王二明,http://www.x23us.com/book/68416, 连载中, 58913字,都市言情,0,0
超人类进化, 陈家三郎,http://www.x23us.com/book/68350, 连载中, 1869685字,都市言情,39,550
万界神豪, 游千山,http://www.x23us.com/book/67195, 连载中, 1807733字,都市言情,286,19379
天字号保镖, 小舞,http://www.x23us.com/book/53138, 连载中, 4221994字,都市言情,208,276501
他身上有条龙, 黑夜与孤城,http://www.x23us.com/book/58083, 连载中, 8176369字,都市言情,1614,111538
超级美食帝国, 药王爷,http://www.x23us.com/book/57626, 连载中, 4401400字,都市言情,1361,143706
继承两万亿, 侠想,http://www.x23us.com/book/68207, 连载中, 720972字,都市言情,96,1060
唯一法神, 神击落太阳,http://www.x23us.com/book/64243, 连载中, 2485643字,都市言情,110,26833
娱乐大顽家, 五陵,http://www.x23us.com/book/68425, 连载中, 3367字,都市言情,0,0
修真的酋长, 小鱼吃龙肉,http://www.x23us.com/book/68426, 连载中, 335648字,都市言情,2,20
重生之大梦七年, 阡陌杨柳,http://www.x23us.com/book/68427, 连载中, 2122278字,都市言情,5,49
魔禁之万物冻结, 云月流光,http://www.x23us.com/book/60094, 连载中, 3779199字,都市言情,550,133362
重生之我的漫画, 神光侠,http://www.x23us.com/book/68132, 连载中, 362810字,都市言情,34,478
我的道士生涯, 夏日香槟,http://www.x23us.com/book/57683, 连载中, 8570107字,都市言情,1244,61575
女总裁的功夫神医, 坐墙等红杏,http://www.x23us.com/book/59419, 连载中, 6992082字,都市言情,697,81370
超级巨兽分身, 独尚兰舟,http://www.x23us.com/book/68414, 连载中, 316084字,都市言情,8,41
无敌英雄系统, 忘川三途,http://www.x23us.com/book/64095, 连载中, 2702770字,都市言情,1336,288849
终极学生在都市, 日暮客愁,http://www.x23us.com/book/67566, 连载中, 3867221字,都市言情,235,10495
女总裁的全能兵王, 寂寞的舞者,http://www.x23us.com/book/67111, 连载中, 5093035字,都市言情,57,31187
魔魂枪风, 落雪不止,http://www.x23us.com/book/59801, 连载中, 4988102字,都市言情,58,41244
重生之苍莽人生, velver,http://www.x23us.com/book/57160, 连载中, 4649874字,都市言情,830,82296
超自然大英雄, 青狐妖,http://www.x23us.com/book/67573, 连载中, 3518223字,都市言情,529,14504
混世矿工, 牧尘客,http://www.x23us.com/book/62931, 连载中, 3904060字,都市言情,2638,183096
鉴宝秘术, 北域神灯,http://www.x23us.com/book/51828, 连载中, 11893991字,都市言情,4592,571032
九阳帝尊, 剑棕,http://www.x23us.com/book/52973, 连载中, 3843990字,都市言情,3155,367044
龙王传说, 唐家三少,http://www.x23us.com/book/58671, 连载中, 3667700字,都市言情,19334,7236804
异界那些事儿, 寂寞的化石,http://www.x23us.com/book/57979, 连载中, 4928856字,都市言情,1102,162680
重生之光辉人生, 狂风徐徐,http://www.x23us.com/book/67641, 连载中, 1570091字,都市言情,285,11889
宗师巨星, 赫墨,http://www.x23us.com/book/66649, 连载中, 1917660字,都市言情,747,54613
大国文娱, 香港大亨,http://www.x23us.com/book/68263, 连载中, 766273字,都市言情,14,212
最强小农民, 西瓜星人,http://www.x23us.com/book/67120, 连载中, 4334910字,都市言情,547,61651
天幕神捕, 东城令,http://www.x23us.com/book/67357, 连载中, 2294776字,玄幻魔法,537,182968
